Abbreviation,Latitude,Longitude
AT,48.210033,16.363449
AU,-35.282001,149.128998
BE,50.85045,4.34878
CA,45.424721,-75.695000
CH,46.94809,7.44744
DE,52.520008,13.404954
DK,55.676098,12.568337
ES,40.416775,-3.703790
FR,48.864716,2.349014
GB,51.509865,-0.118092
HK,45.815399,15.966568
IE,53.350140,-6.266155
IT,41.902782,12.496366
JP,35.6895,139.69171
LU,49.61167,6.13
MX,19.432608,-99.133209
NL,52.370216,4.895168
NO,59.911491,10.757933
NZ,-41.2867,174.7730
SE,59.334591,18.063240
SG,1.290270,103.851959
US,47.751076,-120.740135
